day,users_count,questions_count,answers_count,comments_count,reactions_count,follows_count,blocks_count,mutes_count,reports_count,themes_count,user_bans_count,inbox_count
2017-11-12,1,1,76,85,152,165,0,0,0,2,0,11
2017-11-13,3,1,348,252,485,27,0,0,0,0,0,10
2017-11-14,0,0,120,193,353,4,0,0,0,0,0,0
2017-11-15,0,0,84,293,432,8,0,0,0,0,0,0
2017-11-16,0,1,175,112,149,4,0,0,0,1,0,11
2017-11-17,0,1,26,30,81,2,0,0,0,0,0,12
2017-11-18,0,1,79,119,307,107,0,0,0,0,0,11
2017-11-19,0,1,64,241,393,0,0,0,0,0,0,11
2017-11-20,2,5,5,0,4,14,0,0,0,0,0,0
2017-11-21,1,0,11,2,8,0,0,0,0,0,0,0
2017-11-22,0,0,0,0,0,1,0,0,0,0,0,0
2017-11-23,0,1,1,0,1,2,0,0,0,0,0,10
2017-11-24,0,1,0,0,0,0,0,0,0,0,0,9
2017-11-25,0,0,6,3,13,0,0,0,0,0,0,0
2017-11-26,1,2,85,42,97,37,0,0,0,0,0,47
2017-11-27,2,1,59,67,44,34,0,0,0,0,0,13
2017-11-28,0,1,14,3,11,0,0,0,0,0,0,0
2017-11-29,0,1,54,55,41,1,0,0,0,0,0,11
2017-11-30,0,5,6,2,5,0,0,0,0,0,0,10
2017-12-01,0,2,55,49,51,0,0,0,0,1,0,13
2017-12-02,0,1,0,0,0,0,0,0,0,0,0,12
2017-12-03,0,3,50,42,70,1,0,0,0,0,0,70
2017-12-04,0,1,51,110,118,33,0,0,0,0,0,38
2017-12-05,0,0,41,7,36,29,0,0,0,0,0,0
2017-12-06,1,1,1,0,1,0,0,0,0,0,0,12
2017-12-07,1,2,0,0,0,0,0,0,0,0,0,12
2017-12-08,0,1,1,1,1,0,0,0,0,0,0,11
2017-12-09,0,8,5,0,2,0,0,0,0,0,0,16
2017-12-10,0,3,104,119,168,0,0,0,0,0,0,149
2017-12-11,1,8,75,114,81,1,0,0,0,1,0,12
2017-12-12,0,23,27,22,21,0,0,0,0,0,0,11
2017-12-13,1,2,40,8,38,5,0,0,0,0,0,0
2017-12-14,0,3,0,0,0,1,0,0,0,0,0,13
2017-12-15,0,0,0,0,1,0,0,0,0,0,0,0
2017-12-16,0,2,20,4,26,0,0,0,0,0,0,27
2017-12-17,0,0,26,4,17,0,0,0,0,0,0,0
2017-12-18,0,2,8,2,11,0,0,0,0,0,0,17
2017-12-19,0,1,5,3,9,0,0,0,0,0,0,1
2017-12-20,0,1,2,0,0,0,0,0,0,0,0,13
2017-12-21,0,1,0,0,1,0,0,0,0,0,0,1
2017-12-22,0,0,52,20,75,0,0,0,0,0,0,0
2017-12-23,2,10,64,76,94,273,0,0,0,0,0,14
2017-12-24,1,10,39,26,70,9,0,0,0,1,0,14
2017-12-25,0,1,6,76,70,25,0,0,0,0,0,12
2017-12-26,2,32,25,16,19,48,0,0,0,1,0,19
2017-12-27,0,2,45,28,60,3,0,0,0,0,0,18
2017-12-28,8,1,122,156,122,56,0,0,0,0,0,12
2017-12-29,16,32,37,38,60,346,0,0,0,3,0,659
2017-12-30,1,142,183,465,196,31,0,0,0,1,0,2840
2017-12-31,2,6,109,230,135,60,0,0,0,2,0,15
2018-01-01,1,7,37,202,151,31,0,0,0,1,0,127
2018-01-02,0,9,20,127,16,3,0,0,0,0,0,173
2018-01-03,1,0,6,239,27,0,0,0,0,0,0,0
2018-01-04,1,3,52,68,56,49,0,0,0,0,0,13
2018-01-05,4,4,168,80,45,163,0,0,0,3,0,65
2018-01-06,5,2,78,161,111,188,0,0,0,1,0,14
2018-01-07,1,3,17,218,42,41,0,0,0,1,0,41
2018-01-08,0,1,7,153,45,7,0,0,0,0,0,14
2018-01-09,3,1,4,2,5,0,0,0,0,0,0,14
2018-01-10,0,1,25,6,38,5,0,0,0,0,0,2
2018-01-11,1,1,0,0,0,0,0,0,0,0,0,13
2018-01-12,0,0,8,68,3,1,0,0,0,0,0,0
2018-01-13,6,3,57,128,37,84,0,0,0,1,0,39
2018-01-14,1,5,27,103,29,15,0,0,0,0,0,27
2018-01-15,0,2,0,13,0,0,0,0,0,0,0,15
2018-01-16,2,1,0,77,2,13,0,0,0,0,0,13
2018-01-17,0,2,5,104,25,5,0,0,0,1,0,12
2018-01-18,0,3,6,1,4,0,0,0,0,0,0,13
2018-01-19,0,2,3,149,3,0,0,0,0,0,0,1
2018-01-20,1,58,38,71,43,8,0,0,0,0,0,1958
2018-01-21,0,7,34,43,54,7,0,0,0,0,0,249
2018-01-22,1,1,8,0,8,0,0,0,0,0,0,13
2018-01-23,1,5,4,0,0,0,0,0,0,0,0,14
2018-01-24,0,1,4,11,6,7,0,0,0,0,0,13
2018-01-25,0,1,0,0,0,0,0,0,0,0,0,13
2018-01-26,2,2,1,0,0,0,0,0,0,0,0,13
2018-01-27,1,0,1,0,1,21,0,0,0,0,0,0
2018-01-28,1,18,13,0,0,0,0,0,0,0,0,4
